Category,date,Description,Amount
Food/Drink,2/25/13,King Foot Subs San Franciscoca ,11.66
Groceries,2/25/13,Safeway Store 1507 San Franciscoca ,47.11
Food/Drink,2/26/13,02/26 Starbucks #00628 S San Francisco Ca ,3.45
Food/Drink,2/26/13,02/26 Super Duper Burger San Francisco Ca ,12.23
Groceries,2/26/13,02/26 Superette Market San Francisco Ca ,7.75
Auto/Transportation,2/28/13,02/28 76 10093623 San Francisco Ca ,52.08
Food/Drink,2/28/13,02/28 El Faro San Francisco Ca ,8.1
Credit Card/Loan Payments,2/28/13,Card Payments (Non-Wf)-Citi Cards,100
Insurance/Financial,2/28/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Bills/Utilities,2/28/13,Phone/Internet-At&T Mobility,90.84
Food/Drink,3/1/13,03/01 Pasilla Inc. San Francisco Ca ,7.88
Cash/ATM,3/1/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,80
Groceries,3/1/13,Safeway Store 1507,41.34
Mortgage / Rent,3/2/13,Mortgage Payments-Jackson Square West Hoa,333
Auto/Transportation,3/2/13,Recur Debit Crd Pmt03/02 Fastrak Csc 877-2298655 Ca ,30
Groceries,3/4/13,03/04 Superette Market San Francisco Ca ,13.15
Food/Drink,3/4/13,03/04 The Little Chihuah San Francisco Ca ,21.7
Shopping,3/4/13,Haight Ashbury Music C San Francis Ca,59.8
Shopping,3/4/13,Radioshack Cor San Francisc Ca,33.15
Business/Office,3/4/13,Searchtech Limit Iat Paypal 130304 4Jt226Tg98Ha4 Travis Lawrence 770510487C 4Jt226Tg98Ha4 0O00000091004053618541,11
Home,3/4/13,The Home Depot 1092 Daly City Ca ,95.37
Food/Drink,3/5/13,03/05 China Fun Express San Francisco Ca,9.1
Food/Drink,3/6/13,03/06 Chipotle 1857 San Francisco Ca ,8.59
Groceries,3/6/13,Superette Marke 901 Ha San Franciscoca,13.54
Food/Drink,3/7/13,Acme Burgerhaus San Francisco Ca ,22.62
Food/Drink,3/7/13,Escape From New Yo 415-4210700 Ca ,9.79
Mortgage / Rent,3/7/13,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),2536.93
Cash/ATM,3/8/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60
Groceries,3/8/13,Falletti Foods 308 Bro San Franciscoca ,24.91
Food/Drink,3/8/13,Lee'S Kitchen San Francisco Ca ,6.8
Food/Drink,3/8/13,Wine Kitchen Llc San Francisco Ca ,43.98
Food/Drink,3/8/13,Wine Kitchen Llc San Francisco Ca ,43.98
Auto/Transportation,3/9/13,Quality Tune Up 14 San Francisco Ca ,182.82
Food/Drink,3/10/13,Pizza Hut 11723 415-928-4300 Ca ,29.96
Groceries,3/11/13,Falletti Foods San Francisco Ca ,14.93
Food/Drink,3/11/13,Lucky 756San Fr San Francisc Ca ,19.67
Food/Drink,3/12/13,El Faro San Francisco Ca ,9.62
Groceries,3/12/13,Superette Market San Francisco Ca ,5.49
Food/Drink,3/13/13,Cafe Venue San Francisco Ca ,10.72
Food/Drink,3/14/13,Ayola (Kearny) San Francisco Ca ,10.33
Business/Office,3/14/13,Sf Hardware San Francisco Ca ,21.32
Shopping,3/15/13,Apl*Apple Itunes S 866-712-7753 Ca ,3.98
Food/Drink,3/15/13,Eat24Hours Com Eat24Hour.Com Ca ,38.72
Food/Drink,3/15/13,Foundation Cafe San Francisco Ca ,10.88
Food/Drink,3/15/13,Starbucks #00628 S San Francisco Ca ,4.2
Groceries,3/15/13,Superette Market San Francisco Ca ,27.02
Food/Drink,3/15/13,The Little Chihuah San Francisco Ca ,18.49
Auto/Transportation,3/16/13,Quality Tune Up 14 San Francisco Ca ,182.82
Cash/ATM,3/18/13,Atm Withdrawal - 1750 Fulton San Francisco Ca ,60
Food/Drink,3/18/13,Kens Kitchen San Francisco Ca ,15.6
Food/Drink,3/18/13,Papalote Mexican G San Francisco Ca ,28.94
Credit Card/Loan Payments,3/19/13,"Acs Express Pay Echeck Pay 130318 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004455953435",210.31
Credit Card/Loan Payments,3/19/13,Card Payments (Non-Wf)-Capital One Credit Card,300
Shopping,3/19/13,Macys Web Pymt Online Pmt 130317 31854 401015012536728 1460358360 31854 0R00000091004455953434,141.58
Uncategorized Payments,3/19/13,Paypal Inst Xfer 130319 ,5
Food/Drink,3/20/13,In-N-Out Burger #2 San Carlos Ca ,5.8
Auto/Transportation,3/20/13,Quality Tune Up 14 San Francisco Ca ,43.2
Groceries,3/20/13,Safeway Store 1507 San Franciscoca ,30.35
Miscellaneous,3/20/13,St Of Calif Dmv-In 916-6576397 Ca ,118
Food/Drink,3/21/13,Escape From New Yo 415-4210700 Ca ,7.9
Shopping,3/21/13,Macy S 428 170 O San Franciscoca ,41.33
Shopping,3/22/13,Macys Web Pymt Online Pmt 130321 32270 401017587517546 1460358360 32270 0R00000091004052446214,140
Bills/Utilities,3/22/13,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,84.63
Uncategorized Payments,3/22/13,Paypal Inst Xfer 130322 ,65
Uncategorized Payments,3/22/13,Paypal Inst Xfer 130322 ,65
Food/Drink,3/22/13,Ragazza San Francisco Ca ,38.06
Food/Drink,3/22/13,Shorty Goldsteins San Francisco Ca ,13.05
Auto/Transportation,3/22/13,Silver Gas And San Francisc Ca,45
Groceries,3/22/13,Superette Market San Francisco Ca ,8.48
Transfers to other Wells Fargo Accounts,3/22/13,Wf Loan/Line Auto Pay 130321 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004151515055,324.87
Credit Card/Loan Payments,3/23/13,Card Payments (Non-Wf)-Citi Cards,100
Insurance/Financial,3/23/13,Other Insurance/Financial-State Farm Insurance Companies,29
Food/Drink,3/24/13,J Vineyard & Winer Healdsburg Ca ,79.89
Food/Drink,3/24/13,Sq *Oakside Cafe San Francisco Ca ,12.2
Entertainment,3/24/13,Truett Hurst Winer Healdsburg Ca ,69.28
Cash/ATM,3/25/13,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca ,61.95
Uncategorized Payments,3/25/13,Paypal Inst Xfer 130325 ,19.26
Food/Drink,3/25/13,Pos Purchase - King Foot Subs San Franciscoca ,13.02
Food/Drink,3/26/13,Chipotle 1857 San Francisco Ca ,8.59
Groceries,3/26/13,Trader Joe'S #100 Qps San Francisco Ca,121.73
Shopping,3/26/13,Www.Cornhole-Store 513-549-4833 Oh ,23.99
Food/Drink,3/27/13,Burger Urge San Francisco Ca,17.54
Food/Drink,3/27/13,Escape From New Yo 415-4210700 Ca ,3.95
Auto/Transportation,3/27/13,Paybyphone Sanfran New York Ny ,1.25
Bills/Utilities,3/27/13,Straighttalk*Servi 877-430-2355 Fl ,46.53
Food/Drink,3/28/13,Newasia Asian Cuis San Francisco Ca ,7.98
Groceries,3/28/13,Superette Market San Francisco Ca ,12.22
Food/Drink,3/28/13,Sushi Raw 3 San Francisco Ca ,42.72
Food/Drink,3/29/13,Jimmy Johns - 1489 San Francisco Ca ,6
Food/Drink,3/31/13,Burger Urge San Francisco Ca ,28.38
Cash/ATM,4/1/13,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca ,61.95
Auto/Transportation,4/1/13,Paybyphone Sanfran New York Ny ,1.45
Insurance/Financial,4/2/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,4/2/13,Pasilla Inc. San Francisco Ca ,7.88
Business/Office,4/2/13,Searchtech Limit Iat Paypal 130402 ,11
Personal Care,4/2/13,Shine Hair Styles San Francisco Ca ,20
Bills/Utilities,4/3/13,Gas/Electric-Pacific Gas & Electric (Pg&E),40.31
Food/Drink,4/3/13,Super Duper Burger San Francisco Ca ,10.6
Auto/Transportation,4/4/13,76 10093623 San Francisco Ca ,49.33
Food/Drink,4/4/13,Escape From New Yo 415-4210700 Ca ,9.79
Mortgage / Rent,4/4/13,Mortgage Payments-Jackson Square West Hoa,333
Food/Drink,4/5/13,Bistro 69 San Francisco Ca ,10.85
Groceries,4/5/13,Pos Purchase - Safeway Store 1507 San Franciscoca ,43.87
Food/Drink,4/6/13,Central Kitchen San Francisco Ca ,19.63
Groceries,4/6/13,Superette Market San Francisco Ca ,11.16
Cash/ATM,4/8/13,Atm Withdrawal - 1 Montgomery St San Francisco Ca,20
Cash/ATM,4/8/13,Atm Withdrawal - 4 846 Divisadero Pai Atm San Franciscoca ,60.25
Business/Office,4/8/13,Axis Appraisals Ma San Rafael Ca ,500
Food/Drink,4/9/13,Jimmy Johns - 1489 San Francisco Ca ,7
Cash/ATM,4/10/13,Atm Withdrawal - 1 Montgomery St San Francisco Ca 4992 0008096,40
Shopping,4/10/13,Cresalia Jewelers San Francisco Ca ,25
Mortgage / Rent,4/10/13,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),2536.93
Food/Drink,4/10/13,Sq *Reza Khajenour San Francisco Ca ,15.14
Food/Drink,4/11/13,Newasia Asian Cuis San Francisco Ca ,7.98
Cash/ATM,4/12/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca 4992 0007877,60
Food/Drink,4/12/13,Jimmy Johns - 1489 San Francisco Ca ,6
Food/Drink,4/13/13,Central Kitchen San Francisco Ca ,16.87
Food/Drink,4/14/13,Greenburgers San Francisco Ca ,32.03
Groceries,4/14/13,Superette Market San Francisco Ca ,4.75
Cash/ATM,4/15/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,40
Food/Drink,4/15/13,Pos Purchase - King Foot Subs San Franciscoca ,13.02
Food/Drink,4/16/13,Chipotle 1857 San Francisco Ca ,8.59
Groceries,4/16/13,Superette Market San Francisco Ca ,21
Credit Card/Loan Payments,4/17/13,"Acs Express Pay Echeck Pay 130416 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004054723916",210.31
Credit Card/Loan Payments,4/17/13,Card Payments (Non-Wf)-Capital One Credit Card,30
Credit Card/Loan Payments,4/17/13,Card Payments (Non-Wf)-Citi Cards,100
Food/Drink,4/17/13,Lee'S Deli-Montgom San Francisco Ca ,6.71
Bills/Utilities,4/17/13,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,85.23
Food/Drink,4/17/13,Patxi'S Pizza-Haye San Francisco Ca ,33.17
Food/Drink,4/17/13,Starbucks #00628 S San Francisco Ca ,4.9
Food/Drink,4/18/13,Ayola (Kearny) San Francisco Ca ,10.33
Food/Drink,4/18/13,Mcdonald'S F10162 San Francisco Ca ,10.08
Cash/ATM,4/19/13,Atm Withdrawal - 1 Montgomery St San Francisco Ca ,60
Uncategorized Payments,4/19/13,Paypal Inst Xfer 130418 4Jt226Yk5Ka3A Travis Lawrence Paypalsi66 4Jt226Yk5Ka3A 0O00000091004452136158,35
Food/Drink,4/19/13,Sq *Reza Khajenour San Francisco Ca ,11.39
Groceries,4/19/13,Superette Market San Francisco Ca ,25.4
Health,4/19/13,Svetlana Yesin D.D San Francisco Ca ,126
Food/Drink,4/19/13,Yoppi Yogurt San Francisco Ca ,5.22
Food/Drink,4/20/13,Indian Oven San Francisco Ca ,40.9
Food/Drink,4/20/13,Jamba Juice #68 San Francisco Ca ,9.28
Groceries,4/21/13,Falletti Foods San Francisco Ca ,15.98
Cash/ATM,4/22/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60
Groceries,4/22/13,Trader Joe S 100 San Francisc Ca ,115.95
Transfers to other Wells Fargo Accounts,4/22/13,Wf Loan/Line Auto Pay 130419 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091003757698150,324.87
Insurance/Financial,4/23/13,Other Insurance/Financial-State Farm Insurance Companies,29
Shopping,4/25/13,Apl*Apple Itunes S 866-712-7753 Ca,0.99
Food/Drink,4/27/13,Memphis Minnie'S B San Francisco Ca ,11.91
Food/Drink,4/27/13,Pizza Hut 11723 415-928-4300 Ca ,19.24
Food/Drink,4/29/13,Miyabi Sushi 2 Go San Francisco Ca ,9.52
Uncategorized Payments,4/29/13,Paypal Inst Xfer 130429 J22222229Pjc6 Travis Lawrence Paypalsi66 J22222229Pjc6 0O00000091003758485753,26.99
Food/Drink,4/30/13,Chipotle 1857 San Francisco Ca ,7.12
Groceries,4/30/13,Superette Market San Francisco Ca ,6.54
Food/Drink,5/1/13,Jimmy Johns - 1489 San Francisco Ca ,7
Insurance/Financial,5/1/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Bills/Utilities,5/2/13,Gas/Electric-Pacific Gas & Electric (Pg&E),32.09
Business/Office,5/2/13,Searchtech Limit Iat Paypal 130502 4Jt226Zy9Bd5S Travis Lawrence 770510487C 4Jt226Zy9Bd5S 0O00000091004559048635,11
Groceries,5/3/13,Superette Market San Francisco Ca ,16.82
Food/Drink,5/4/13,Patxi'S Pizza-Haye San Francisco Ca ,38.89
Food/Drink,5/6/13,Chipotle 1857 San Francisco Ca ,9.03
Groceries,5/6/13,Falletti Foods 308 Bro San Franciscoca ,24.48
Groceries,5/6/13,Safeway Store 1507 San Franciscoca ,57.83
Mortgage / Rent,5/7/13,Mortgage Payments-Jackson Square West Hoa,333
Mortgage / Rent,5/7/13,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),2536.93
Food/Drink,5/7/13,Pasilla Inc. San Francisco Ca ,8.16
Food/Drink,5/9/13,Escape From New Yo 415-4210700 Ca ,10.05
Food/Drink,5/9/13,The Little Chihuah San Francisco Ca ,19.8
Food/Drink,5/10/13,Mad Dog In The Fog San Francisco Ca ,27.37
Food/Drink,5/10/13,Wonderland Restaur 415-6695157 Ca ,32.04
Groceries,5/11/13,Falletti Foods San Francisco Ca,12.29
Food/Drink,5/11/13,Sq *Oakside Cafe San Francisco Ca,10
Bills/Utilities,5/11/13,Straighttalk*Airti 877-430-2355 Fl ,46.54
Food/Drink,5/13/13,Chipotle 1857 San Francisco Ca,7.12
Groceries,5/13/13,Falletti Foods 308 Bro San Franciscoca,17.65
Food/Drink,5/14/13,Lee'S Kitchen San Francisco Ca ,6.8
Food/Drink,5/15/13,Lee'S Deli-Montgom San Francisco Ca,6.71
Food/Drink,5/16/13,El Faro San Francisco Ca,8.1
Cash/ATM,5/17/13,Atm Withdrawal - Sf State San Francisco Ca,40
Food/Drink,5/17/13,Jimmy Johns - 1489 San Francisco Ca,6
Food/Drink,5/17/13,Jimmy Johns - 1489 San Francisco Ca ,6
Food/Drink,5/17/13,The House San Francisco Ca,59.98
Food/Drink,5/17/13,The Little Chihuah San Francisco Ca,21.48
Food/Drink,5/18/13,Magnolia Gastropub San Francisco Ca,17
Food/Drink,5/20/13,Haight Street Market I San Francisc Ca,17.03
Groceries,5/20/13,Safeway Store 1507 San Franciscoca,28.28
Food/Drink,5/21/13,Pasilla Inc. San Francisco Ca ,8.16
Groceries,5/21/13,Superette Market San Francisco Ca ,6.53
Credit Card/Loan Payments,5/22/13,Card Payments (Non-Wf)-Capital One Credit Card,30
Bills/Utilities,5/22/13,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,85.23
Transfers to other Wells Fargo Accounts,5/22/13,Wf Loan/Line Auto Pay 130521 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004555695095,324.87
Food/Drink,5/22/13,Working Girls Cafe San Francisco Ca ,11.02
Food/Drink,5/23/13,Lee'S Deli-Montgom San Francisco Ca ,7.8
Auto/Transportation,5/24/13,Bart Clipper Mo San Franciscoca ,20
Food/Drink,5/24/13,Escape From New Yo 415-4210700 Ca ,9.25
Food/Drink,5/26/13,Ace Hotel Food And Palm Ca ,21
Food/Drink,5/27/13,China Fun Express San Francisco Ca ,8.35
Food/Drink,5/28/13,Chipotle 1857 San Francisco Ca ,7.12
Food/Drink,5/29/13,Pasilla Inc. San Francisco Ca ,8.97
Groceries,5/30/13,Safeway Store 1507 San Franciscoca ,168.93
Groceries,5/30/13,Superette Market San Francisco Ca ,10.53
Food/Drink,5/30/13,Sushi Rock San Francisco Ca ,10.07
Credit Card/Loan Payments,5/31/13,Card Payments (Non-Wf)-Citi Cards,100
Insurance/Financial,5/31/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Bills/Utilities,6/1/13,Gas/Electric-Pacific Gas & Electric (Pg&E),32.22
Food/Drink,6/1/13,Murphys San Francisco Ca ,21
Groceries,6/1/13,Superette Market San Francisco Ca ,14.76
Credit Card/Loan Payments,6/3/13,"Acs Express Pay Echeck Pay 130531 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004158288663",210.31
Food/Drink,6/3/13,Pos Purchase - Lucky 756San Fr San Francisc Ca ,16.95
Food/Drink,6/4/13,Ayola (Kearny) San Francisco Ca ,10.33
Mortgage / Rent,6/4/13,Mortgage Payments-Jackson Square West Hoa,333
Mortgage / Rent,6/4/13,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),2539.24
Food/Drink,6/4/13,The Little Chihuah San Francisco Ca ,19.47
Food/Drink,6/5/13,Jimmy Johns - 1489 San Francisco Ca ,8
Groceries,6/5/13,Pos Purchase - Superette Marke 901 Ha San Franciscoca ,9.24
Food/Drink,6/6/13,Escape From New Yo 415-4210700 Ca ,7.9
Groceries,6/7/13,Pos Purchase - Safeway Store 1507 San Franciscoca ,11.07
Food/Drink,6/7/13,Wonderland Restaur 415-6695157 Ca ,33.44
Food/Drink,6/9/13,Burgermeister Cast San Francisco Ca ,24.2
Groceries,6/9/13,Superette Market San Francisco Ca ,14.95
Groceries,6/10/13,Falletti Foods 308 Bro San Franciscoca ,32.61
Food/Drink,6/10/13,Pasilla Inc. San Francisco Ca ,10.06
Groceries,6/10/13,Pos Purchase - Trader Joe S 100 San Francisc Ca ,101.65
Bills/Utilities,6/10/13,Straighttalk*Servi 877-430-2355 Fl ,46.53
Groceries,6/10/13,Superette Market San Francisco Ca ,7.83
Food/Drink,6/11/13,Chipotle 1857 San Francisco Ca,7.12
Food/Drink,6/13/13,Lee'S Deli-Montgom San Francisco Ca ,6.71
Food/Drink,6/14/13,Jimmy Johns - 1489 San Francisco Ca ,6.5
Miscellaneous,6/15/13,Commteachercredent 866-2551857 Ca ,44.5
Food/Drink,6/17/13,Home Service Ma San Franciscoca ,9
Groceries,6/17/13,Safeway Store 1507 San Franciscoca ,54.35
Personal Care,6/17/13,Shine Hair Styles San Francisco Ca ,21
Food/Drink,6/18/13,Escape From New Yo 415-4210700 Ca ,5
Food/Drink,6/18/13,Taqueria Mana San Francisco Ca ,10.88
Food/Drink,6/19/13,Lotus Lunchbox San Francisco Ca ,8.7
Food/Drink,6/19/13,Pasilla Inc. San Francisco Ca ,8.16
Food/Drink,6/20/13,Chipotle 1857 San Francisco Ca ,8.59
Cash/ATM,6/21/13,Atm Withdrawal - 1160 Grant Ave San Francisco Ca ,40
Food/Drink,6/23/13,Sq *Sightglass Cof San Francisco Ca ,36
Health,6/24/13,Walgreens 199 Parnassu San Franciscoca ,22.37
Transfers to other Wells Fargo Accounts,6/24/13,Wf Loan/Line Auto Pay 130621 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004550649296,324.87
Food/Drink,6/25/13,Jimmy Johns - 1489 San Francisco Ca ,9
Auto/Transportation,6/26/13,Bart Clipper Mo San Franciscoca ,20
Food/Drink,6/26/13,Ikes Lair Walnut C Walnut Creek Ca ,26.82
Auto/Transportation,6/26/13,Shell Service Station San Franciscoca ,47.39
Business/Office,6/27/13,Sf Hardware San Francisco Ca ,20.65
Credit Card/Loan Payments,6/28/13,"Acs Express Pay Echeck Pay 130627 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004157653280",210.31
Credit Card/Loan Payments,6/28/13,Card Payments (Non-Wf)-Citi Cards,100
Food/Drink,6/28/13,Escape Frm New Yrk San Francisco Ca ,36.07
Bills/Utilities,6/28/13,Other Bills/Utilities-Comcast Cable Communications -16-Digit Account Numbers,85.23
Food/Drink,6/28/13,Pasilla Inc. San Francisco Ca ,9.52
Groceries,6/28/13,Superette Market San Francisco Ca ,14.14
Insurance/Financial,6/29/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,6/29/13,Silver Cloud Resta San Francisco Ca ,23
Groceries,6/29/13,Superette Market San Francisco Ca ,17.71
Groceries,6/29/13,Superette Market San Francisco Ca ,20.42
Food/Drink,6/30/13,Wonderland Restaur 415-6695157 Ca ,34.63
Travel,6/30/13,Yellow Card Servic San Francisco Ca ,16.7
Cash/ATM,7/1/13,Atm Withdrawal - 2055 Chestnut St San Francisco Ca ,60
Food/Drink,7/1/13,Lee'S Deli-Montgom San Francisco Ca ,6.71
Food/Drink,7/2/13,Chipotle 1857 San Francisco Ca ,8.59
Bills/Utilities,7/2/13,Other Home-Pacific Gas & Electric -Pg&E,34.35
Business/Office,7/2/13,Searchtech Limit Iat Paypal 130702 4Jt2277Yja4T6 Travis Lawrence 770510487C 4Jt2277Yja4T6 0O00000091004050176352,0.05
Food/Drink,7/3/13,Sq *Oakside Cafe San Francisco Ca ,6.1
Groceries,7/3/13,Superette Market San Francisco Ca ,14.68
Auto/Transportation,7/5/13,Chevron Rc Mini Mart Gonzales Ca ,46.11
Entertainment,7/5/13,Peachy Canyon Wine Templeton Ca ,24.83
Bills/Utilities,7/5/13,Vesta *At&T 866-608-3007 Or ,45
Uncategorized Payments,7/8/13,Cal State Auto A Payment 130705 Csaa/Officialpa Travis Lawrence 4940361645 Csaa/Officialpa 0R00000091004557261409,57
Mortgage / Rent,7/9/13,Mortgage Payments-Jackson Square West Hoa,333
Mortgage / Rent,7/9/13,Mortgage Payments-Wells Fargo Home Mortgage-708 -First 3 Digits On Payment Coupon,2539.24
Cash/ATM,7/10/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60
Groceries,7/12/13,Trader Joe S 078 San Francisc Ca ,61.55
Credit Card/Loan Payments,7/13/13,Card Payments (Non-Wf)-Bank Of America Credit Card,49
Credit Card/Loan Payments,7/13/13,Card Payments (Non-Wf)-Capital One Credit Card,42
Food/Drink,7/13/13,Escape Frm New Yrk San Francisco Ca,29.32
Groceries,7/13/13,Superette Market San Francisco Ca,4.54
Groceries,7/15/13,Falletti Foods 308 Bro San Franciscoca,27.48
Groceries,7/16/13,Superette Market San Francisco Ca ,14.45
Uncategorized Payments,7/16/13,Unblockus Inc. Iat Paypal 130716 4Jt2279Cjy28L Travis Lawrence 770510487C 4Jt2279Cjy28L 0O00000091004054552545,4.91
Food/Drink,7/17/13,La Boulange Du Dom San Francisco Ca ,9.79
Bills/Utilities,7/17/13,Other Bills/Utilities-Comcast Cable Communications -16-Digit Account Numbers,85.23
Food/Drink,7/17/13,The Little Chihuah San Francisco Ca ,11.37
Food/Drink,7/18/13,King Foot Subs San Franciscoca ,7.55
Auto/Transportation,7/19/13,Chevron 00308333 Rancho Cordov Ca ,46.59
Auto/Transportation,7/19/13,South Tahoe Swi South Lake T Ca ,37.66
Auto/Transportation,7/20/13,Recur Debit Crd Pmt07/20 Fastrak Csc 4154868655 Ca ,30
Food/Drink,7/21/13,In-N-Out Burger #1 Davis Ca ,13.88
Auto/Transportation,7/22/13,Chevron Hbs Inc Vacaville Ca ,39.78
Food/Drink,7/22/13,The Crepe House #3 San Francisco Ca ,5.44
Transfers to other Wells Fargo Accounts,7/22/13,Wf Loan/Line Auto Pay 130719 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091003858741869,324.87
Personal Care,7/23/13,Fell Depot Cleaner San Francisco Ca ,52.25
Food/Drink,7/23/13,Super Duper Burger San Francisco Ca ,10.6
Cash/ATM,7/24/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,40
Food/Drink,7/24/13,The Little Chihuah San Francisco Ca ,11.37
Food/Drink,7/25/13,Burgermeister Cast San Francisco Ca ,15.5
Food/Drink,7/25/13,Memphis Minnie'S B San Francisco Ca ,11.91
Groceries,7/26/13,Superette Market San Francisco Ca ,13.97
Credit Card/Loan Payments,7/27/13,Card Payments (Non-Wf)-Citi Cards,79
Food/Drink,7/27/13,Wonderland Restaur 415-6695157 Ca ,64.95
Credit Card/Loan Payments,7/29/13,"Acs Express Pay Echeck Pay 130726 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091003757778284",210.31
Cash/ATM,7/29/13,Atm Withdrawal - 1 2700 16Th St Dear Mom-1San Franciscoca ,42.65
Food/Drink,7/29/13,King Foot Subs San Franciscoca ,7.55
Groceries,7/29/13,Safeway Store 1507 San Franciscoca ,93.93
Business/Office,7/30/13,Fedexoffice 0000 San Francisco Ca ,5.77
Food/Drink,7/31/13,Baja Fresh 476 San Carlos Ca ,16.86
Auto/Transportation,7/31/13,Chevron 00091875 Los Altos Ca ,40.35
Food/Drink,7/31/13,Mcdonald'S F10162 San Francisco Ca ,8.01
Insurance/Financial,7/31/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Groceries,8/1/13,Falletti Foods San Francisco Ca ,8.72
Bills/Utilities,8/2/13,Other Home-Pacific Gas & Electric -Pg&E,32.88
Business/Office,8/2/13,Searchtech Limit Iat Paypal 130802 4Jt227Bag3582 Travis Lawrence 770510487C 4Jt227Bag3582 0O00000091003856663750,11
Groceries,8/2/13,Superette Market San Francisco Ca ,11.22
Food/Drink,8/3/13,The Little Chihuah San Francisco Ca ,11.37
Bills/Utilities,8/4/13,Recur Debit Crd Pmt08/04 Vesta *At&T 866-608-3007 Or ,40
Groceries,8/4/13,Superette Market San Francisco Ca ,11.98
Cash/ATM,8/5/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,40
Food/Drink,8/5/13,Bi Rite Divis San Francisc Ca ,30.03
Groceries,8/5/13,Safeway Store 1507 San Franciscoca ,30.82
Groceries,8/6/13,Falletti Foods San Francisco Ca ,14.29
Groceries,8/6/13,Superette Market San Francisco Ca ,10.17
Auto/Transportation,8/8/13,7 Eleven San Jose Ca ,5.65
Food/Drink,8/8/13,The Little Chihuah San Francisco Ca ,15.23
Credit Card/Loan Payments,8/9/13,Card Payments (Non-Wf)-Bank Of America Credit Card,50
Groceries,8/9/13,Superette Market San Francisco Ca ,9.2
Food/Drink,8/10/13,Mad Dog In The Fog San Francisco Ca ,73.88
Cash/ATM,8/12/13,Atm Withdrawal - 2 6150 Geary Blvdtradr Samssan Franciscoca ,62.5
Food/Drink,8/12/13,The Grind Cafe San Francisco Ca ,11.09
Mortgage / Rent,8/13/13,Mortgage Payments-Jackson Square West Hoa,333
Food/Drink,8/14/13,Acme Burgerhaus San Francisco Ca ,29.04
Food/Drink,8/15/13,King Foot Subs San Franciscoca ,7.55
Food/Drink,8/15/13,The Little Chihuah San Francisco Ca ,11.97
Shopping,8/16/13,Lombardi`S Sports San Francisco Ca ,114.98
Groceries,8/16/13,Safeway Store 1507 San Franciscoca ,26.28
Groceries,8/16/13,Superette Market San Francisco Ca ,22.74
Uncategorized Payments,8/16/13,Unblockus Inc. Iat Paypal 130816 4Jt227Csmn4X6 Travis Lawrence 770510487C 4Jt227Csmn4X6 0O00000091004450666477,4.96
Food/Drink,8/18/13,The Little Chihuah San Francisco Ca ,22.19
Food/Drink,8/19/13,Escape Frm New Yrk San Francisco Ca ,32.58
Food/Drink,8/19/13,Greenburgers San Francisco Ca ,16.8
Business/Office,8/19/13,Office Max Geary Ca ,76.17
Groceries,8/19/13,Safeway Store 1507 San Franciscoca ,33.21
Groceries,8/22/13,Falletti Foods 308 Bro San Franciscoca ,21.38
Food/Drink,8/22/13,The Little Chihuah San Francisco Ca ,23.28
Transfers to other Wells Fargo Accounts,8/22/13,Wf Loan/Line Auto Pay 130821 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091003654815497,324.87
Food/Drink,8/24/13,Ragazza San Francisco Ca ,41.32
Groceries,8/25/13,Superette Market San Francisco Ca ,9.45
